FECHA_CORTE,CAMA,HABI,RUC,RAZON_SOCIAL,NOMBRE_COMERCIAL,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,E_MAIL,PAGINA_WEB,CLASE,CATEGORIA,NRO_CERTIFICADO,FECHA_EXPEDICION,REP_LEGAL,TELEFONO,DIRECCION_COMPLETA,ALTA_CALIDAD,ESTRELLAS
20260501,75.0,41.0,20510898126,SAN AGUSTIN EL DORADO S.A.C.,SAN AGUSTIN EL DORADO ,80101,CUSCO,CUSCO,CUSCO,subgerentecomercial@hsaperu.com,www.hotelessanagustin.com.pe,Hotel,4 Estrellas,000-2011,2025-12-30 05:00:00,Ana Carina Meneses Lujan,231232,AV. EL SOL 395,1,4
20260501,8.0,6.0,20609213427,Inversiones Madd Art E.I.R.L.,MADD,130101,LA LIBERTAD,TRUJILLO,TRUJILLO,lichitadb@gmail.com,,Hostal,2 Estrellas,000-2011,2025-12-30 05:00:00,Elizabeth Adolfina Becerra Cieza,987450829,JR. ALMAGRO 625 CC. CENTRO HISTÓRICO,0,2
20260501,43.0,31.0,20605249036,CORPORACION TURISTICA LA MERCED S.A.C.,LA MERCED,40101,AREQUIPA,AREQUIPA,AREQUIPA,reservas@hotellamercedarequipa.com,,Hotel,3 Estrellas,000-2011,2025-12-30 05:00:00,Roxana Mariela Bustamante Caipa,418993,Calle LA MERCED 407 AREQUIPA,0,3
20260501,28.0,23.0,10464242941,"FALCON GIRON, GIOVANNA AURIA",LOS ANDENES,40801,AREQUIPA,LA UNIÓN,COTAHUASI,hotellosandenes@gmail.com,,Hotel,1 Estrella,000-2011,2025-12-30 05:00:00,Giovanna Auria Falcon Giron,994968107/944200750,Calle INDEPENDENCIA 204 LA UNION,0,1
20260501,68.0,32.0,20513286989,SAN AGUSTIN RECOLETA S.A.C.,SAN AGUSTIN  RECOLETA,81301,CUSCO,URUBAMBA,URUBAMBA,subgerentegeneral@hsa.peru.com,www.hotelsanagustin.com.pe,Hotel,4 Estrellas,000-2011,2025-12-30 05:00:00,Ana Carina Meneses Lujan,84201419,JR. RECOLETA s/n,1,4
20260501,36.0,20.0,20608239856,CONSTRUCTORA E INMOBILIARIA PIRAMIDE WJ S.A.C.,LUXOTEL,110201,ICA,CHINCHA,CHINCHA ALTA,reservas.luxotel@gmail.com,,Hotel,3 Estrellas,000-2011,2025-12-30 05:00:00,Nazario Huayllani Taype,942368717,AV. BENAVIDES 169 CI.,0,3
20260501,23.0,9.0,10295942857,"QUISPE CAMI, ROSA",DOÑA ESPERANZA,40501,AREQUIPA,CAYLLOMA,CHIVAY,rosi.rqc45@gmail.com,,Hostal,2 Estrellas,000-2011,2025-12-30 05:00:00,Rosa Quispe Cami,984759740,Calle RAMON CASTILLA L-6D CHIVAY,0,2
20260501,60.0,30.0,20512423516,NEGOCIOS E INVERSIONES MEVEL S.A.C.,QALLWA HOTELS,110210,ICA,CHINCHA,SUNAMPE,,www.hotelpalmerasdeasiaperu.com,Hotel,4 Estrellas,000-2011,2025-12-30 05:00:00,Victor Gustavo Mejia Rosales,NO REGISTRADO,PRLG MARISCAL BENAVIDES 1471,1,4
20260501,28.0,10.0,20602131808,INVERSIONES CASAVI S.A.C.,HOSTAL LA CASONA MONSANTE,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,informes@casonamonsante.com,www.casonamonsante.com,Hostal,3 Estrellas,2,2021-03-09 05:00:00,Irma Corina Cáceres Vilches,933216097/41260231,JR. AMAZONAS 746 CI. CHACHAPOYAS,0,3
20260501,28.0,20.0,20606492198,Inversiones Reyes & Hnos E.I.R.L.,LA COLPA CHINCHANA,110206,ICA,CHINCHA,GROCIO PRADO,,,Hotel,3 Estrellas,000-2011,2025-12-30 05:00:00,Erik Giorgino Avalos Anton,NO REGISTRADO,PJ. LAS PALMAS 1 Mz BA. CENTRO POBLADO SAN BENITO,0,3
20260501,30.5,20.0,10235608893,"RIOS ORE, MARIVEL",SAN CRISTOBAL,50101,AYACUCHO,HUAMANGA,AYACUCHO,,,Hostal,1 Estrella,000-2011,2025-12-30 05:00:00,Marivel Rios Ore,NO REGISTRADO,JR. TRES MASCARAS 389,0,1
20260501,28.0,20.0,20600462220,HOGARES Y DISEÑOS V Y K SAC,LUNA,110201,ICA,CHINCHA,CHINCHA ALTA,hogares_vyk@outlook.com,,Hotel,3 Estrellas,000-2011,2025-12-30 05:00:00,Yessica Kristel Magallanes Mendoza,NO REGISTRADO,Calle MAURTUA 149 CI.,0,3
20260501,31.0,21.0,20534953381,GRUPO LOS ANGELES P & V S.A.C.                                                                      ,LOS ANGELES CAMPESTRE,110206,ICA,CHINCHA,GROCIO PRADO,grupolosangelespv@outlook.com,,Hotel,3 Estrellas,000-2011,2025-12-30 05:00:00,Jose Levis Picon Saguma,NO REGISTRADO,Calle SAN RAFAEL 125 BA.,0,3
20260501,27.0,21.0,20534953381,GRUPO LOS ANGELES P & V S.A.C.                                                                      ,LOS ANGELES,110201,ICA,CHINCHA,CHINCHA ALTA,GRUPOLOSANGELESPV@OUTLOOK.COM,,Hotel,2 Estrellas,000-2011,2025-12-30 05:00:00,Cruz Adela Visconde Samame,NO REGISTRADO,Calle LOS ANGELES 369 CI.,0,2
20260501,30.5,20.0,20494430569,INVERSIONES BEZU S.A.C.                                                                             ,LA COLMENA,50101,AYACUCHO,HUAMANGA,AYACUCHO,informes@hotel-colmena.com,http://www.hotel-colmena.com/,Hotel,2 Estrellas,000-2011,2025-12-30 05:00:00,Cesar Antonio Berrocal Zuñiga,66311318,JR. CUZCO 140,0,2
20260501,48.0,28.0,10218121832,"LAO LOI, TAI IEONG", CALLAO,110201,ICA,CHINCHA,CHINCHA ALTA,,,Hotel,2 Estrellas,000-2011,2025-12-30 05:00:00,Tai Ieong Lao Loi,NO REGISTRADO,Calle CALLAO 228 CI.,0,2
20260501,30.5,20.0,10282642901,"SILVERA QUISPE, MAMERTO",GRAU,50101,AYACUCHO,HUAMANGA,AYACUCHO,hotelgrau192@hotmail.com,,Hotel,1 Estrella,000-2011,2025-12-30 05:00:00,Mamerto Silvera Quispe,66303361,Calle SAN JUAN DE DIOS 192,0,1
20260501,30.5,20.0,20494478332,VIAVIA  CAFE AYACUCHO  S.A.C.,VIAVIA  CAFE,50101,AYACUCHO,HUAMANGA,AYACUCHO,reservas.viaviacafeayacucho@gmail.com,www.viaviacafe.com,Hostal,3 Estrellas,000-2011,2025-12-30 05:00:00,Maria Carmela Ruiz Vergara,66312834,PO. PORTAL CONSTITUCIÓN 4,0,3
20260501,10.0,10.0,10222882767,"JIMENO VASQUEZ, FLOR EDITH",EL CAÑAVERAL,110201,ICA,CHINCHA,CHINCHA ALTA,florjimeno@hotmail.com,,Apart Hotel,3 Estrellas,000-2011,2025-12-30 05:00:00,Carlos Omar Cornejo Vega,56267537,Calle LUIS GALVEZ RONCEROS 350,0,3
20260501,10.0,10.0,20534964405,INMOBILIARIA EL CAÑAVERAL S.A.C.                                                                    ,EL  CAÑAVERAL ,110201,ICA,CHINCHA,CHINCHA ALTA,florjimeno@hotmail.com,,Apart Hotel,3 Estrellas,000-2011,2025-12-30 05:00:00,Flor Edith Jimeno Vasquez,56267537,Calle LUIS GALVEZ RONCEROS 350,0,3
20260501,33.0,17.0,20601524881,EMPRESA DE SERVICIOS NINAWAYRA S.A.C.,HOSTAL LA CASONA DEL ROSARIO,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,revash9@hotmail.com,,Hostal,3 Estrellas,10,2025-12-30 05:00:00,Karin Del Rosario Burga Muñoz,978048656/41792306,JR. GRAU 521 CI. CHACHAPOYAS,0,3
20260501,16.0,16.0,10038850682,"CLEMENT CLAVIJO, KAREN","HOSTAL ""HVG""",60101,CAJAMARCA,CAJAMARCA,CAJAMARCA,,,Hostal,2 Estrellas,165-14,2014-05-02 05:00:00,Karen Clement Clavijo,NO REGISTRADO,JR. TAYABAMBA 197 CI.,0,2
20260501,30.5,20.0,10009785022,"CARLOS CASTELLARES, JUAN EDILBERTO",VALLE DEL MANTARO,120107,JUNÍN,HUANCAYO,CHILCA,,,Hostal,2 Estrellas,062-2010,2010-07-07 05:00:00,Juan Edilberto Carlos Castellares,234393,Calle REAL 1022,0,2
20260501,30.5,20.0,10044279130,"RAMOS VILLAVICENCIO, MARIA ELENA",NATIVA  INN,40501,AREQUIPA,CAYLLOMA,CHIVAY,hotelnativainn@hotmail.com,,Hostal,3 Estrellas,10044279130-001,2025-12-30 05:00:00,Maria Elena Ramos Villavicencio,54531129,Calle SUCRE 604,0,3
20260501,30.5,20.0,10076412061,"PORTOCARRERO ARISTA, CESAR OSWALDO",GENESIS,40109,AREQUIPA,AREQUIPA,MARIANO MELGAR,,,Hostal,2 Estrellas,10076412061-001,2011-05-05 05:00:00,Cesar Oswaldo Portocarrero Arista,54452455,Calle COMANDANTE CANGA 109,0,2
20260501,30.5,20.0,10088198811,"CAMPODONICO REATEGUI, ELITA AGRIPINA",ELITA´S INN,40201,AREQUIPA,CAMANÁ,CAMANÁ,,,Hostal,2 Estrellas,10088198811-001,2010-11-25 05:00:00,Elita Agripina Campodonico Reategui,975386895,Calle 9 DE NOVIEMBRE A-1,0,2
20260501,48.0,24.0,10040730911,"BRAVO MOSQUERA, RED AMELEIDE",HOTEL TAMBOMACHAY,60108,CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,,,Hotel,3 Estrellas,249-2017,2017-02-09 05:00:00,Red Ameleide Bravo Mosquera,976220916/76638761,JR. MANCO INCA 269 CI.,0,3
20260501,30.5,20.0,10095006758,"MORO HORNA, MARIA YSABEL",HOSPEDAJE ALONDRA,130101,LA LIBERTAD,TRUJILLO,TRUJILLO,,,Hostal,3 Estrellas,219-2011,2011-07-25 05:00:00,Maria Ysabel Moro Horna,NO REGISTRADO,Calle MZA. J LOTE. 32,0,3
20260501,56.0,28.0,20538268811,ENCANTOS DEL SOL  DE LUNA  S.A.C.,SOL DE LUNA,150508,LIMA,CAÑETE,LUNAHUANA,pachecominayam@hotmail.com,,Hotel,3 Estrellas,049-2022,2022-04-06 05:00:00,Modesto Pacheco Minaya,9566616552,CAR. CAÑETE -LUNAHUANA km.35.5,0,3
20260501,82.0,76.0,10028719596,"RISHING MENDOZA, FLOR DE MARIA",AMERICAS,150122,LIMA,LIMA,MIRAFLORES,reservaciones@howardjohnsonlarco.pe,www.howardjohnsonlarco.pe,Hotel,3 Estrellas,416,2019-12-11 05:00:00,Flor De Maria Rishing Mendoza,NO REGISTRADO,AV. LARCO 842,0,3
20260501,30.5,20.0,10178533377,"VASQUEZ PITA, QUIRINO NEPTALI",HOSTAL BOLOGNESI,130101,LA LIBERTAD,TRUJILLO,TRUJILLO,,,Hostal,2 Estrellas,148-2010,2010-07-19 05:00:00,Quirino Neptali Vasquez Pita,NO REGISTRADO,JR. FRANCISCO BOLOGNESI 737,0,2
20260501,30.5,20.0,10090778299,"LA LA , CRUZ MELGAR HERNANDO ISAAC",TAURO,120114,JUNÍN,HUANCAYO,EL TAMBO,,,Hostal,2 Estrellas,0070-2010,2010-12-13 05:00:00,Cruz Melgar Hernando Isaac La La ,64246070,JR. SEBASTIAN LORENTE 1412,0,2
20260501,30.5,20.0,10004558401,"HERRERA HERRERA , ANGEL AUGUSTO",SARYRIS,40101,AREQUIPA,AREQUIPA,AREQUIPA,,,Hostal,2 Estrellas,10004558401-001,2010-07-09 05:00:00,Angel Augusto Herrera Herrera ,54221507,Calle PUENTE BOLOGNESI 107,0,2
20260501,30.5,20.0,10292264963,"DIAZ PONCE DE LIENDO, ELENA VICTORIA",GRAN HOSPEDAJE,40101,AREQUIPA,AREQUIPA,AREQUIPA,granhospedaje@hotmail.com,,Hotel,1 Estrella,10292264963-001,2015-01-12 05:00:00,Elena Victoria Diaz Ponce De Liendo,54212001,AV. ALVAREZ THOMAS 451,0,1
20260501,20.0,11.0,10328320946,"ROJAS RODRIGUEZ, DANIEL ISAIAS",HOSTAL SLEEP INN,21809,ÁNCASH,SANTA,NUEVO CHIMBOTE,danielrojas4813@hotmail.es,,Hostal,2 Estrellas,002-2022,2022-05-23 05:00:00,Daniel Isaias Rojas Rodriguez,977596516,AV. LA MARINA MZ. K LOTE 10 URB. BRUCES,0,2
20260501,30.5,20.0,10292008827,"CANO DE HERRAN, GRACIELA TRINIDAD",EL PERAL,40101,AREQUIPA,AREQUIPA,AREQUIPA,hostalelperal@hotmail.com,www.hostalperal.com,Hostal,2 Estrellas,10292008827-001,2011-06-24 05:00:00,Graciela Trinidad Cano De Herran,54214574,Calle PERAL 567 B,0,2
20260501,30.5,20.0,10292161676,"VALDERRAMA OJEDA, GLADIS CIRIACA",WILLY'S,40110,AREQUIPA,AREQUIPA,MIRAFLORES,,,Hostal,2 Estrellas,10292161676-001,2011-05-19 05:00:00,Gladis Ciriaca Valderrama Ojeda,54200242,Calle SOL DE PUNO 117 119,0,2
20260501,30.5,20.0,20452674239,HOTEL SAN JORGE RESIDENCIAL S.R.L.,SAN JORGE RESIDENCIAL,110501,ICA,PISCO,PISCO,hotel_san_jorge_residencial@hotmail.com,www.hotelsanjorgeresidencial.com,Hotel,3 Estrellas,044-13/Dzp,2013-08-23 05:00:00,Javier Jacinto Vasquez Villanueva,56532885,Calle BARRIO NUEVO 133,0,3
20260501,30.5,20.0,20534388498,GUTIERREZ GROUPE E.I.R.L.,YBIZZA,110501,ICA,PISCO,PISCO,hotel.ybizza@gmail.com,,Hotel,2 Estrellas,173-19/Dircetur-Dzp,2019-10-18 05:00:00,Yohana Marilyn Milagros Gutierrez Arroyo De Ronceros,56385246,Calle JOSE BALTA 389,0,2
20260501,30.5,20.0,10199312907,"VELIZ YUPANQUI, DIONISIO JORGE",HOTEL SAN FRANCISCO,120114,JUNÍN,HUANCAYO,EL TAMBO,,,Hostal,1 Estrella,0141-2015,2015-06-17 05:00:00,Dionisio Jorge Veliz Yupanqui,64251293,Calle CIRCUITO LOS HEROES 310,0,1
20260501,30.5,20.0,10215312386,"PARDO CARLOS, YESSENIA ANITA",HOSTAL EL SUEÑO DE SAN MARTIN,110505,ICA,PISCO,PARACAS,,,Hostal,3 Estrellas,068-2015/Dzp,2015-03-02 05:00:00,Yessenia Anita Pardo Carlos,56534384,AV. JOSE DE SAN MARTIN,0,3
20260501,30.5,20.0,10222731238,"TASAYCO TERCERO, DAVID MARTIN",NUESTRO SECRETO,110501,ICA,PISCO,PISCO,,,Hostal,2 Estrellas,010-14/Dt,2014-03-13 05:00:00,David Martin Tasayco Tercero,985998313,Calle 4 DE JULIO 496,0,2
20260501,30.5,20.0,10223145171,"RAMOS QUISPE, MODESTA",MONASTERIO,110501,ICA,PISCO,PISCO,,,Hostal,3 Estrellas,034-12/Dzp,2017-04-04 05:00:00,Modesta Ramos Quispe,56531383,AV. BOLOGNESI 326 -,0,3
20260501,30.5,20.0,10292378691,"QUIROZ CORNEJO, LENIN SERGIO",DON CHECHO,40117,AREQUIPA,AREQUIPA,SACHACA,,,Hostal,1 Estrella,10292378691-001,2025-12-30 05:00:00,Lenin Sergio Quiroz Cornejo,54344143,CAR. VARIANTE UCHUMAYO 2.5,0,1
20260501,30.5,20.0,10292395235,"VILCA PACHECO, BERTHA ANASTASIA",KILLAYMI,40129,AREQUIPA,AREQUIPA,JOSÉ LUIS BUSTAMANTE Y RIVERO,,,Hostal,2 Estrellas,000-2022,2022-02-14 05:00:00,Bertha Anastasia Vilca Pacheco,NO REGISTRADO,Calle EDILBERTO ZEGARRA BALLÓN 110,0,2
20260501,30.5,20.0,10292574989,"GRANDA PAREDES, FRIDA NARCISA",VIRREY,40101,AREQUIPA,AREQUIPA,AREQUIPA,,,Hotel,1 Estrella,10292574989-001,2025-12-30 05:00:00,Frida Narcisa Granda Paredes,54423542,AV. SAN JUAN DE DIOS 607,0,1
20260501,30.5,20.0,20495013741,SERVICIOS TURISTICOS CRISOLMAR S.A.C                                                                ,CRISOLMAR PRADERA,110501,ICA,PISCO,PISCO,crisolmarpradera@hotmail.com,www.hotelcrisolmarpradera.com.pe,Hotel,3 Estrellas,009-14/Dzp,2014-02-19 05:00:00,Cristhian Alberto Diaz Tito,56535995,AV. FERMIN TANGUIS,0,3
20260501,30.5,20.0,10180375291,"RUIZ CASTAÑEDA, MANUEL MARTIN",HOSTAL CHIFA RESID. CITY MAR,130111,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,,,Hostal,2 Estrellas,501-2015,2015-04-27 05:00:00,Manuel Martin Ruiz Castañeda,NO REGISTRADO,AV. VICTOR LARCO 440,0,2
20260501,41.0,20.0,10273709776,"IMAÑA NUÑEZ, AMADEO",GRAN HOTEL AMADEUS,60401,CAJAMARCA,CHOTA,CHOTA,imananunez@gmail.com,,Hotel,3 Estrellas,Certificado Nº 559-2022,2025-12-30 05:00:00,Amadeo Imaña Nuñez,985731900/929516160,JR. 27 DE NOVIEMBRE 228 CI.,0,3
20260501,30.5,20.0,10292151701,"TEJADA FRANCO, SANDRO VICENTE",REAL,40101,AREQUIPA,AREQUIPA,AREQUIPA,hotelreal@terra.com.pe,,Hotel,2 Estrellas,10292151701-001,2011-06-24 05:00:00,Sandro Vicente Tejada Franco,54281808,Calle SANTO DOMINGO 305 B,0,2
20260501,30.5,20.0,10292621111,"CHAVEZ RAMIREZ, MARIA ELENA FELICITA",MIRASOL,40101,AREQUIPA,AREQUIPA,AREQUIPA,,,Hostal,2 Estrellas,10292621111-001,2011-04-20 05:00:00,Maria Elena Felicita Chavez Ramirez,54632873,Calle RIVERO 641,0,2
20260501,30.5,20.0,20141569920,C.I.A. SERV. TURISTICOS EL MIRADOR S.A.,EL MIRADOR,110505,ICA,PISCO,PARACAS,reservas@elmiradorhotel.com,www.elmiradorhotel.com,Hotel,3 Estrellas,023-2010,2010-07-05 05:00:00,Jorge Luis Bacca Avalos,56545086,CAR. PISCO-PUNTA PEJERREY KM 18,0,3
20260501,30.5,20.0,20503322251,GAMES AND SERVICES S.A.C.,BOULEVARD,110501,ICA,PISCO,PISCO,,,Hotel,2 Estrellas,015-14/Dzp,2014-04-09 05:00:00,Miguel Angel Alvarez Pineda,56533084,Calle COMERCIO 180,0,2
20260501,13.0,9.0,10106154398,"FALCONI ALVARADO, DE ARROYO ROSA MANUELA",EL MIRADOR DE CAYITO,150401,LIMA,CANTA,CANTA,elmiradordecayito@hotmail.com,,Hostal,2 Estrellas,075-2021,2021-10-04 05:00:00,Rosa Manuela Mirtha Falconi Alvarado De Arroyo,994885950,AV. CIRCUNVALACION MZ 102 LTE 3 S/N,0,2
20260501,30.5,20.0,20495041019,CORPORACION EL GAMONAL SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,CORPORACION EL GAMONAL S.R.L.,110505,ICA,PISCO,PARACAS,,,Hotel,2 Estrellas,057-14/Dt,2014-12-09 05:00:00,Mariela Janet Patiño Astorayme,56267636,VIA MZA C LOTE 01,0,2
20260501,12.0,10.0,10464862540,"VELAZCO RIQUEROS, YRINA LINOSHKA",HATUN KANTA,150401,LIMA,CANTA,CANTA,,,Hostal,2 Estrellas,076-2021,2021-10-04 05:00:00,Yrina Linoshka Velazco Riqueros,997051119,JR. CACERES 611,0,2
20260501,30.5,20.0,10200513237,"PUCUHUANCA HUAMAN, AGAPITO E",ROGER,120101,JUNÍN,HUANCAYO,HUANCAYO,,,Hotel,2 Estrellas,0136-2015,2015-04-13 05:00:00,Agapito E Pucuhuanca Huaman,64233488,JR. ANCASH 460,0,2
20260501,30.5,20.0,10101009624,"RODRIGUEZ SARAS, TOMAS JORGE",GEORGE,40307,AREQUIPA,CARAVELÍ,CHALA,,,Hotel,3 Estrellas,009-2020-Gra/Grcet,2015-04-29 05:00:00,Tomas Jorge Rodriguez Sarasi,958271249,Calle EMANCIPACION S/N,0,3
20260501,30.5,20.0,10248853471,"KANA NOA, JUAN",DON JUAN,40201,AREQUIPA,CAMANÁ,CAMANÁ,,,Hostal,1 Estrella,10248853471-001,2012-04-27 05:00:00,Juan Kana Noa,54651154,JR. MOQUEGUA 138,0,1
20260501,22.0,22.0,10292601820,"RAMOS MAMANCHURA, FELIPE",ACUARIO,40129,AREQUIPA,AREQUIPA,JOSÉ LUIS BUSTAMANTE Y RIVERO,hostal.acuario1@gmail.com,,Hostal,1 Estrella,26,2022-06-15 05:00:00,Felipe Ramos Mamanchura,920593036,Calle TERMINAL TERRESTRE B 1 URB. HUNTER,0,1
20260501,30.5,20.0,20367553180,REGENCY PLAZA S.A.C.                                                                                ,REGENCY PLAZA,110501,ICA,PISCO,PISCO,,,Hotel,3 Estrellas,007-14/Dzp,2014-01-31 05:00:00,Luisa Margarita Toguchi Carrasco,5635919,Calle PROGRESO 117,0,3
20260501,30.5,20.0,20494723744,SERVICIOS TURISTICOS HOSTAL MARILYN E.I.R.L                                                         ,MARILYN,110501,ICA,PISCO,PISCO,,,Hostal,3 Estrellas,054-14/Dzp,2014-12-03 05:00:00,Edith Victoria Ramos Abregu,56535048,PJ. JAZMIN 198,0,3
20260501,30.5,20.0,10198583249,"SOSA VALENZUELA, PIO MAXIMO",SAUNA BLUB,120101,JUNÍN,HUANCAYO,HUANCAYO,,,Hotel,3 Estrellas,0133-2015,2015-03-18 05:00:00,Pio Maximo Sosa Valenzuela,64221692,PJ. VERAND 187,0,3
20260501,30.5,20.0,10180691176,"AÑORGA CARBONEL, JANIRA",EL GALENO,130101,LA LIBERTAD,TRUJILLO,TRUJILLO,,,Hostal,3 Estrellas,244-2011,2011-12-27 05:00:00,Janira Añorga Carbonel,NO REGISTRADO,VIA -,0,3
20260501,30.5,20.0,10199117004,"LAZO ORDONEZ, CARLOS SEBASTIAN",SANTA ROSA,120114,JUNÍN,HUANCAYO,EL TAMBO,,,Hostal,2 Estrellas,0067-2010,2010-10-28 05:00:00,Juvenal Okuma Imazu,64242911,JR. SANTA ROSA 1161,0,2
20260501,30.5,20.0,10200908258,"TORRES ARROYO, PROSPERO",MELODY,120107,JUNÍN,HUANCAYO,CHILCA,,,Hostal,2 Estrellas,0040-2018,2018-03-27 05:00:00,Prospero Torres Arroyo,64216555,JR. MARISCAL CACERES-CHILCA 300,0,2
20260501,30.5,20.0,10223083477,"MEDINA DONAYRE, MARIA ISABEL",BOULE BAR,110506,ICA,PISCO,SAN ANDRÉS,,,Hostal,3 Estrellas,011-2013/Dzp-Ica,2013-02-20 05:00:00,Maria Isabel Medina Donayre,56542726,AV. GENARO MEDRANO 397,0,3
20260501,30.5,20.0,10292315291,"FEBRES POLANCO VDA DE DIAZ, DORIS JUANA FRANCISCA",MARIA,40101,AREQUIPA,AREQUIPA,AREQUIPA,,,Hotel,1 Estrella,10292315291-001,2010-07-09 05:00:00,Doris Juana Francisca Febres Polanco Vda De Diaz,54286722,Calle NUEVA 310,0,1
20260501,30.5,20.0,20279061927,EMPRESA COMPLEJO TURISTICO LEA S.A.C                                                                ,EMBASSY BEACH,110501,ICA,PISCO,PISCO,embassyhoteles@terra.com,www.hotelesembassy.com,Hotel,3 Estrellas,022-14/Dzp,2014-06-26 05:00:00,Beatriz Lourdes Castro Lea,56532256,AV. SAN MARTIN 1119,0,3
20260501,30.5,20.0,10271546063,"VARGAS CABANILLAS, ABDON GUILLERMO", EL PILLKAY,130101,LA LIBERTAD,TRUJILLO,TRUJILLO,,,Hostal,3 Estrellas,184-2011,2011-02-25 05:00:00,Abdon Guillermo Vargas Cabanillas,NO REGISTRADO,JR. PIZARRO 911,0,3
20260501,30.5,20.0,10200127230,"ROJAS CERRON, LUIS RAUL",LUNA PARK,120114,JUNÍN,HUANCAYO,EL TAMBO,lunaparkhospedaje@terra.com,,Hostal,2 Estrellas,0003-2015,2015-10-12 05:00:00,Luis Raul Rojas Cerron,64247840,JR. LA MERCED 640,0,2
